gender,median_home_val,ic2,ic3,avggift,target_d
F,2190,655,669,6.5,6
M,1117,461,461,6.428571429,7
F,814,282,298,10.4,12
F,1814,418,380,10.66666667,10
F,403,288,237,20,15
F,613,323,300,10.66666667,20
M,2712,1144,989,18.42857143,25
F,958,499,525,7.6,10
F,1129,445,429,20.83333333,25
F,4984,702,734,12.14285714,50
M,452,300,297,14.8,20
M,986,495,530,20.11111111,25
M,655,247,267,14.44,14
M,459,195,237,3.52173913,6
M,674,402,458,5.363636364,10
F,728,304,315,10.35714286,10
M,4153,886,640,12,13
F,348,223,239,10.22692308,12
F,869,505,465,7.25,10
M,1876,404,419,10.83333333,15
M,865,387,392,6.266666667,10
M,666,253,268,8.166666667,10
M,809,389,411,13.71428571,15
M,4763,534,551,9.888888889,11
F,0,0,0,15,25
F,987,354,344,28,28
M,2444,780,737,15,15
M,503,255,262,4.5,5
F,1004,247,236,5.05,5
F,1565,780,704,6.1,6
F,872,307,343,20.4,25
F,501,374,354,20.77777778,25
F,331,237,217,4.444444444,5
M,620,270,279,12.36142857,16
M,747,457,396,15,17
F,936,304,257,9.5,20
F,756,372,391,8.769230769,14
F,487,222,247,9.888888889,16
M,651,345,337,7.611111111,11
F,693,479,439,5.125,5
F,1063,148,206,3.035714286,3
F,609,424,422,19.25,46
M,732,374,432,10.70588235,17
F,871,355,363,9.5,13
F,313,256,220,16.25,35
M,1059,513,392,7.583333333,10
M,687,310,291,9,15
M,397,270,296,14.4,20
F,2516,649,641,13.65517241,16
F,506,323,326,8.6,12
F,412,354,342,9.333333333,22
F,360,239,233,9.142857143,20
F,745,275,353,5.166666667,7
M,691,294,319,17.16,20
F,978,559,475,4.333333333,3
F,1586,321,337,9.5,15
F,3304,614,629,24.05882353,25
F,800,358,333,4.285714286,5
M,1596,603,631,10.875,10
F,2105,314,372,15.33333333,20
F,1480,684,635,7.617021277,10
F,585,266,255,9.727272727,10
F,1033,611,565,10.33333333,10
M,340,178,217,10.2,20
F,1708,413,374,12.6875,16
F,1419,698,766,7.363636364,10
F,2698,593,572,10.81818182,5
M,556,346,270,13.11111111,30
M,972,278,281,11.42857143,15
F,498,278,282,7.454545455,9
M,878,331,349,10.47058824,12
M,883,333,315,14.85714286,20
F,670,287,282,11.66666667,20
M,589,317,292,8.588235294,7
F,2620,490,519,14.42857143,18
M,677,466,442,10.66666667,20
F,464,257,224,8.222222222,8
M,600,308,292,9.52631579,10
F,707,393,383,4.176470588,10
F,1537,509,528,11.19230769,10
F,682,464,421,8,8
M,867,492,524,12.5,11
F,1943,353,355,20,20
M,1037,456,511,10,10
F,595,317,333,9,16
F,375,270,295,20,20
F,397,329,336,9.777777778,15
F,584,386,307,15,5
F,534,231,248,13.55555556,23
M,362,235,246,9.722222222,10
M,991,506,532,5.8,9
F,2639,594,584,15,25
F,476,274,236,10.73333333,15
M,3393,553,589,20,25
F,0,0,0,12.5,50
F,2250,159,192,6,6
F,340,227,235,15.33333333,20
F,322,258,291,15,25
F,655,432,430,9,10
F,908,482,499,5.090909091,5
F,718,508,497,11.07692308,25
M,2750,332,302,10.66666667,10
M,397,219,237,9.333333333,20
M,1040,309,256,7.9375,9
M,675,238,207,6.111111111,2
M,719,398,389,11.33333333,12
F,588,249,254,8.333333333,5
F,1053,419,402,8.333333333,10
F,419,295,296,12,17
F,803,407,432,20,25
F,886,339,360,5.222222222,6
F,257,264,194,10.125,16
M,1453,426,486,25,10
M,931,636,543,15,15
F,496,349,360,5.571428571,20
F,5649,828,801,8.615384615,10
M,852,450,394,12.5,25
F,3100,488,306,18.33333333,20
F,1074,524,528,28,30
F,1452,397,410,25,25
F,813,263,297,9.25,3
M,333,219,278,16.42857143,25
F,536,296,278,4.944444444,10
F,850,501,465,8.230769231,5
F,443,347,320,5.727272727,10
M,467,261,260,6.666666667,6
F,1207,303,458,7.25,10
M,490,299,288,3.269230769,20
F,805,243,237,8.266666667,20
M,638,243,255,15.66666667,20
M,1208,594,616,15,15
M,198,252,261,15,10
M,443,218,232,10.42857143,20
F,1284,539,532,13.44444444,20
M,675,352,343,5.785714286,15
F,668,369,311,6.411764706,10
F,575,259,255,7.666666667,14
F,2375,471,535,20,8
F,1091,348,382,11.95238095,20
M,1015,360,404,8.25,15
M,1413,665,727,8.285714286,16
F,3738,581,599,16,20
F,871,344,362,9.55,12
F,571,333,336,15,15
F,375,207,208,15,15
F,3435,546,560,32.30769231,50
F,466,252,244,5.625,5
M,1668,664,663,13.38461539,10
M,546,256,344,15,15
M,576,355,304,6.04,10
F,585,393,445,13.58333333,15
F,2022,534,496,4.777777778,5
F,1406,536,453,15,21
F,503,275,287,20,15
F,1602,475,561,18.42105263,24
M,736,276,311,10.4,11
F,393,147,178,4.363636364,5
F,987,469,476,10,16
M,4933,736,762,26.5,30
F,1178,507,543,15.57142857,36
M,2397,486,402,9.9,20
M,651,415,395,3.578947368,5
F,1711,806,566,16,45
M,3663,777,784,20,20
F,473,319,333,8.666666667,10
F,4954,1195,1086,7.444444444,15
M,775,465,489,25,10
F,505,330,316,20,20
F,678,289,303,8.777777778,7
F,1158,398,373,4.090909091,3
F,861,314,278,7,7
F,407,193,221,16.66666667,22
M,1094,388,421,20.83333333,51
M,485,309,329,21.25,25
F,517,375,389,11,25
M,445,210,226,6.321428571,7
M,2458,1203,1095,13.58139535,15
F,1428,277,322,25,20
F,693,399,390,6.588235294,8
M,873,291,251,3.173913044,5
F,2807,497,504,12.75,14
M,351,278,283,14,25
F,2067,534,540,450,20
F,999,453,465,18.71428571,21
M,419,243,277,8.75,20
M,962,479,361,5.111111111,11
F,542,252,272,11.51351351,10
M,780,323,345,14.14285714,10
F,1229,649,555,5.214285714,5
F,928,452,444,12.83333333,15
M,335,205,166,6.666666667,15
F,700,277,309,15,23
M,337,265,258,9.714285714,15
M,557,337,321,9.074074074,11
F,3333,871,759,20.83333333,25
M,1126,261,275,20.8,25
F,0,0,0,38,43
M,1987,524,567,14,30
F,0,0,0,15,21
F,1093,431,386,25,25
M,238,225,233,6.636363636,9
F,966,528,547,7.714285714,5
M,377,252,276,10.25,10
F,825,459,453,4,4
M,962,444,452,35,40
M,1082,566,522,10.08333333,7
M,2362,632,655,13.375,15
M,359,258,203,11.91666667,20
M,5854,1077,920,28,25
M,682,359,297,12.33333333,16
M,581,349,349,17,20
F,380,277,299,11.66666667,25
F,1229,502,507,7.5,20
F,689,320,343,12,15
M,1715,619,647,4.8,4.5
F,762,355,327,8.761904762,18
F,683,471,484,6.8125,3
F,1648,488,480,8.538461539,9
F,5907,1340,1063,16,15
M,1473,324,395,20.66666667,20
F,484,243,195,20,20
M,645,308,251,8.916666667,10
M,577,380,389,9.571428571,15
F,1163,459,439,5.4,5
F,602,366,363,9,10
F,746,352,363,15.76470588,20
F,459,518,280,27.42307692,100
F,922,298,298,8.5,15
F,833,350,329,12.25,25
M,1793,796,832,14.28571429,15
F,470,292,275,12.5,15
F,338,254,242,5.076923077,5
M,420,253,249,4.9,4
M,1576,418,528,12.85714286,10
F,677,303,334,8.428571429,8
F,559,361,378,11,21
M,731,385,401,15,10
F,718,443,425,8.578947368,10
M,460,265,257,11,20
M,2257,541,488,6.5,10
F,726,426,388,9.2,14
M,1327,409,435,11.33333333,17
M,956,344,412,11.44444444,20
M,565,163,180,6.909090909,8
M,987,440,400,12.11111111,19
F,1138,613,602,9.68,16
F,535,236,250,4.285714286,5
F,427,141,121,10.75,20
M,5806,871,830,20,20
F,1413,329,397,6.666666667,20
F,1180,385,414,12.9,25
M,318,105,113,17.45454546,16
F,554,424,432,7.866666667,20
F,1900,582,498,5.2,6
M,866,453,428,25,25
F,1223,419,444,9,15
F,2324,404,445,10.6,25
F,2528,591,542,24.77777778,10
F,1183,528,379,37.5,25
M,655,315,328,8.75,15
M,418,290,244,10.71428571,15
M,595,394,406,8.875,11
M,0,0,0,11.33333333,10
F,548,327,340,11.66666667,25
F,1125,287,246,10.25,20
F,3626,785,795,12.3125,20
F,503,267,290,8.863636364,10
F,455,350,321,12,10
M,1201,408,426,7.818181818,21
M,592,406,240,16.27272727,23
F,614,388,377,7.636363636,10
M,302,216,207,11.25,10
F,1157,514,448,7.714285714,10
F,2312,516,531,6.333333333,2
M,440,186,220,9.666666667,25
F,569,315,317,9.727272727,15
F,680,393,406,9.058823529,15
M,690,371,263,5,5
F,438,146,165,20.66666667,36
F,2166,402,457,8.095238095,10
M,394,220,227,25,20
F,630,327,321,9.2,10
M,3276,478,436,25,75
F,1171,512,544,5.2,7
M,1103,503,497,15,15
F,1633,318,306,5.8,11
M,428,304,240,9.1875,12
F,262,194,186,15,5
F,905,533,549,7.25,10
F,1693,467,457,11.66666667,15
F,1806,312,338,2.795454546,3
F,683,325,313,15.33333333,15
M,630,396,395,13,20
M,417,199,200,13,12.5
F,1569,672,785,12.5,15
M,1357,534,571,13,16
M,663,501,483,15,20
M,827,275,297,6.3125,6
F,266,167,217,8.09375,5
M,1967,409,403,10.5,12
F,470,339,318,5.625,8
M,626,388,392,9.8,11
F,584,314,318,10.4,15
F,1063,360,354,20,20
F,588,345,331,13.33333333,21
F,663,315,305,11.66666667,37
F,281,314,274,7.714285714,14
M,784,378,332,11,10
F,1722,420,411,4.571428571,5
M,645,249,257,5.285714286,5
M,544,403,360,5.133333333,5
F,896,335,340,8.6,15
M,398,303,292,8.45,14
F,900,337,336,13.6,15
M,1421,604,534,5.714285714,6
F,405,208,215,6.666666667,5
M,297,178,185,21,10
F,317,249,241,4.885769231,7
F,2184,376,394,12.5,20
M,0,0,0,17.5,25
M,1848,688,705,8.35,20
F,2111,408,444,16.5,50
M,5795,1326,1201,11.66666667,15
M,950,449,420,7.2,5
M,846,541,595,5.181818182,6
F,3573,1474,1065,10.33333333,24
M,393,212,222,15.55555556,50
M,600,461,467,8.727272727,15
F,469,354,331,19.28571429,25
F,605,326,283,12.25,10
F,711,305,307,3.857142857,4
F,1072,306,378,17.85714286,25
F,782,475,498,20.18181818,34
M,464,291,277,10.2,10
M,1803,418,364,13.71428571,19
F,1329,727,689,6.2,6
F,408,253,259,8.444444444,7
F,1537,509,528,13,20
F,488,314,282,4.714285714,5
M,799,445,421,9.125,12.5
F,1722,406,365,6.071428571,6
F,365,249,269,13.33333333,15
F,1204,514,491,7.4,15
M,518,213,228,9.333333333,20
F,2486,508,516,3.491935484,25
M,5439,1029,961,12.22222222,12
F,3477,601,528,5.4,6
F,2813,366,388,10,10
M,3909,886,878,11.28571429,15
M,237,250,274,12.84615385,25
F,545,316,324,15,20
M,482,282,287,5.071428571,5
F,506,320,310,10,10
F,1344,468,439,3.931538461,20
M,621,328,300,10.5875,12
M,564,207,274,8.730769231,15
F,398,207,195,8.769230769,11
M,667,380,345,6.722222222,5
M,948,604,655,5,5
F,953,379,387,13.2,20
M,1029,401,408,5.133333333,10
M,1325,458,403,16.35294118,26
F,806,393,386,4,3
F,339,161,212,8.25,10
M,487,308,275,5,5
F,942,254,306,5.611111111,10
F,1156,617,541,31,50
M,331,288,255,7.5,10
M,498,229,246,5.5,6
F,904,372,330,13.6,23
M,324,192,186,12.5,15
M,1771,335,322,11.1875,20
M,1203,473,497,15,15
M,737,504,472,8.454545455,10
M,504,228,246,5,5
M,931,318,332,5.090909091,5
F,819,275,331,7.538461539,10
F,2521,424,512,5.555555556,5
M,4068,821,748,6.4,15
F,1364,255,296,18.75,25
F,456,263,281,11,12
M,501,407,385,7.5,15
F,810,214,217,12.83333333,50
M,1960,321,362,6.3,5
F,770,264,276,4.714285714,13
F,619,271,300,12.25,15
M,544,305,322,20,20
F,1436,347,338,25,20
M,3223,516,568,6.444444444,10
F,227,241,220,2.445945946,6
M,679,374,377,13,16
M,612,510,551,12.33333333,15
F,213,273,283,5.125,5
M,1111,591,552,6.636363636,12
M,803,240,311,19.23076923,20
F,665,264,273,7,12
M,646,249,305,5.1,12
M,2441,740,697,11,12.5
F,1985,446,467,10.36363636,14
F,1016,246,278,20,20
M,596,316,345,11.81818182,20
M,851,363,330,15,15
M,725,309,349,10.22222222,14
M,457,242,237,9.333333333,10
F,377,363,320,5,10
M,1223,644,638,25,25
M,308,220,231,10,10
M,1097,463,371,10.71428571,17
M,1060,425,422,15,10
F,870,405,361,26.66666667,20
M,543,349,339,4.964285714,5
F,1063,529,526,15,20
F,402,240,230,37.2,20
M,770,282,272,20,30
F,364,231,221,10,25
M,620,358,348,3.35516129,3
F,577,324,224,11.09090909,23
M,651,345,361,9.666666667,13
F,2292,670,680,6.4,13
F,972,367,388,11.2,17
M,1035,386,356,11.42857143,15
F,431,283,289,7.25,10
F,4947,608,682,10,10
F,351,245,225,12.89473684,20
M,439,203,230,5.636363636,5
M,1967,418,438,5.261851852,7
F,952,407,436,6.142857143,10
F,637,407,446,4.714285714,20
M,1413,482,489,8,25
F,360,266,252,15.28571429,5
F,3676,692,724,20,5
M,719,269,280,7.6,15
M,1460,565,641,7.102941177,15
F,2766,433,398,13,20
F,528,271,243,8.333333333,10
M,1345,635,629,11,23
M,747,385,398,4.722222222,7
F,881,464,388,11,19
F,957,360,365,5,7
M,920,753,348,15,10
M,693,248,232,7.25,11
F,1922,307,300,5.545454545,6
F,1473,647,649,7.333333333,11
F,369,305,295,5.625,10
F,1070,510,529,7.583333333,8
F,340,221,208,14.22222222,20
F,684,321,298,13.5,25
M,454,285,280,10.77777778,12
M,574,318,315,3.555555556,4
F,3772,661,647,14.33333333,17
M,588,380,354,4,5
F,1465,638,589,7.818181818,10
M,852,446,480,10.19047619,10
F,777,485,476,9.3,12
F,532,404,297,12,17
M,2917,613,712,10.09090909,10
F,1990,326,389,15,35
M,427,290,290,27.5,40
M,844,336,333,9.866666667,10
M,822,322,321,10.75,12
F,761,422,425,6.466666667,15
F,965,453,426,9.538461539,10
F,150,197,198,6.333333333,10
F,607,260,256,3.6,3
F,760,505,492,7.8,11
F,445,253,270,8.9,10
F,1331,579,561,12.2,20
F,598,453,419,11.5,10
F,3997,915,919,10.625,23
F,3461,423,479,6.153846154,10
M,5739,670,792,9.285714286,15
M,150,251,223,6.1,3
F,539,303,377,5.625,11
F,1856,523,516,13,20
M,301,354,267,10.5,10
F,1075,556,552,5.8,6
F,5000,963,797,11,13
F,283,168,207,5.111111111,7
F,1260,357,309,4.857142857,5
F,3009,455,493,12.5,17
M,462,264,248,8,16
F,574,363,360,6.166666667,14
F,402,229,234,12,15
F,557,188,221,13,16
F,320,183,202,13.33333333,21
F,758,409,455,7.454545455,11
F,836,354,380,4.476190476,5
F,468,308,294,8,18.25
F,5000,936,712,15,5.25
F,2541,486,454,24.28571429,25
M,497,452,384,20.41666667,40
M,1003,322,318,25,25
M,770,522,522,20,10
M,739,368,419,20,20
F,2140,789,816,3.761904762,3
F,1282,637,607,4.857142857,5
F,1167,272,329,11.14285714,15
F,5626,1109,969,30.75,100
F,636,311,295,8.75,20
M,1834,371,441,14.8,21
M,912,393,375,8.5625,20
F,2125,399,411,20,30
F,1180,548,554,5.5,5
F,669,198,214,8.4,15
F,0,147,178,4.5,5
F,533,349,339,8.2,9
M,582,368,385,9.666666667,10
M,480,217,202,17.33333333,20
M,435,209,256,12.83333333,10
F,609,291,290,3.908571429,50
M,447,280,265,12.33333333,20
M,467,261,261,15,15
M,327,256,284,13.66666667,15
F,890,426,459,8.285714286,10
F,2947,658,665,15,15
F,679,238,242,7.428571429,10
F,1522,485,453,5,5
M,5324,1500,1053,22.25,20
F,1878,439,389,5.3,6
F,529,360,345,17.5,10
F,742,293,290,5.727272727,5
F,466,368,368,10.87878788,20
F,911,358,330,5.944444444,10
M,879,251,303,10.5,20
F,573,437,413,16.28571429,15
F,1644,426,450,3,4
F,905,245,269,13.14285714,25
F,406,225,245,7.444444444,10
F,0,0,0,12.5,15
F,430,234,236,10.27272727,13
F,492,244,243,15,20
M,553,334,343,7.2,11
M,587,466,438,4.590909091,9
M,800,448,433,20.83333333,25
M,3196,692,695,30,50
M,789,434,412,9.916666667,25
M,545,281,312,10.0625,10
M,745,382,374,11.42857143,10
M,1144,443,436,14.81818182,10
F,730,191,287,10.5,20
F,506,214,253,14.81818182,20
F,488,220,203,11.94117647,5
F,1748,355,382,5.523809524,10
F,2159,280,247,20.17647059,15
F,2153,379,360,22.5,35
F,2051,545,543,33,30
F,1553,653,694,23.33333333,25
M,986,389,369,7.6,7
M,442,253,257,15,20
F,405,274,291,21.06666667,26
F,355,292,271,12.33333333,16
M,922,442,449,14,17
M,3333,609,549,10,17
M,723,361,351,18.4,26
M,528,338,306,12.47826087,25
F,418,343,381,11,25
F,2322,472,499,7.84375,11
F,704,349,358,13,20
F,539,348,297,7.894736842,7
F,1097,562,534,14.6,19
F,1058,499,525,8.75,14
M,1971,605,559,15,21
M,512,237,248,20,20
M,321,189,233,10,5
F,622,378,401,15,25
M,351,186,219,25,25
F,540,215,195,10.5,10
F,2855,385,484,11.46153846,40
F,955,379,397,7.264347826,10
M,442,195,165,16.5,20
F,569,384,440,6.75,12
M,1170,220,252,5.7,6
F,2353,316,333,25,25
F,330,317,289,7.333333333,10
F,428,294,284,2.625,5
F,1713,244,310,15,15
F,618,291,322,7.285714286,10
F,1183,603,566,10.65217391,5
M,299,267,263,4.9375,4
M,782,341,272,10.23076923,20
F,383,134,135,12.2,20
M,2044,337,397,10.75,20
F,3222,614,607,16.54545455,25
M,866,475,467,7.545454545,11
M,899,486,542,9.444444444,10
F,221,274,252,11.33333333,15
F,2432,364,397,9,20
F,198,209,208,5,5
M,600,256,273,18.95833333,30
F,463,416,427,10.4,20
F,290,228,235,20,20
F,694,376,339,13,18
F,797,378,318,3.161290323,3
F,589,286,337,10,14
M,1205,459,345,4.176470588,5
M,444,324,304,4.5,4
F,801,382,419,4.9,5
F,337,261,263,8.294117647,10
M,434,337,305,11.66666667,10
F,646,257,278,7.1875,12
M,740,376,329,12.6,23
F,717,339,349,10,10
M,2971,288,340,7,12
F,636,395,325,14.25,17
M,2906,653,740,10.6,15
F,717,352,347,10,10
F,715,301,333,7.111111111,8
M,386,354,302,4.217391304,5
F,684,323,323,20,20
M,469,260,271,7.465116279,12
M,884,377,366,7.666666667,5
F,275,161,224,9.25,15
F,1122,560,607,25.125,20
F,656,339,318,28.6,5
F,880,343,386,17.71428571,15
F,837,381,369,3.466666667,3
F,2322,548,469,4.431034483,5
F,853,464,447,10,10
F,871,412,436,7.836734694,7
M,884,692,737,9.142857143,21
F,5687,540,729,21.5,20
M,3343,760,768,17.5,40
F,949,448,420,11.66666667,15
M,1052,499,516,10.83333333,10
F,1788,424,415,11,20
F,1274,541,548,6,7
F,481,335,279,7.2,5
M,1728,511,503,25,25
M,1322,405,408,3.566666667,2
F,429,297,276,7.692307692,3
F,2674,574,648,19.16666667,25
F,685,365,372,3.589285714,12
M,2254,479,542,16.25,20
M,479,268,272,9.555555556,10
F,860,453,495,13.51111111,38
F,1821,466,486,7.384615385,10
M,1076,503,550,14.54545455,50
F,1231,398,367,12.3,16
F,440,231,253,8.916666667,5
M,1572,587,623,10,20
M,347,202,204,14.75,16
F,1153,583,609,50,100
F,2075,743,823,5.517241379,6
F,360,235,219,11.9,21
M,542,245,269,15.4,15
F,948,353,367,3.411764706,1
F,483,206,207,15,21
F,1488,400,402,9,5
M,809,482,413,20,25
M,2083,186,220,3.8125,4
M,597,448,475,13,30
M,440,331,323,6,5
M,614,317,335,15,20
M,2424,446,483,14.5,6
F,923,364,353,7.607142857,7
M,577,437,437,7.375,10
M,347,310,286,4.904761905,7
M,1250,411,429,25,25
M,770,426,450,10.6,20
M,1943,444,439,13.33333333,5
M,687,407,375,6.105263158,6
M,875,317,343,7,20
M,864,480,402,8.230769231,8
F,701,352,353,25,25
F,664,308,336,3.613636364,4
M,755,232,282,11.33333333,14
M,423,262,251,5.95945946,6
M,5540,815,814,21,26
F,2596,518,584,24.16666667,25
M,3199,537,595,14.7,16
F,1257,358,427,6.384615385,17
F,205,221,217,5.166666667,5
F,1173,625,562,8.931034483,10
F,862,519,478,20.25,27
F,339,271,293,5.928571429,10
M,392,239,265,4.266666667,4
F,576,308,304,8.923076923,10
F,2419,409,470,9.857142857,5
F,575,212,247,4.428571429,5
M,709,254,264,7.333333333,5
M,724,380,363,17.22222222,20
M,719,561,430,4.4,5
F,411,230,244,13,12
M,498,304,274,11.5,20
F,716,438,351,20,25
M,732,431,434,10.5,13
M,1155,695,728,12.5,15
F,245,176,246,9.333333333,10
F,489,221,244,9.2,21
M,590,341,333,8.583333333,7
F,764,362,383,6.25,10
F,670,358,354,4.958333333,4
M,1000,463,458,8.772727273,12
F,519,357,349,5.6875,10
F,720,416,450,17.89473684,24
M,2498,550,570,25,35
F,887,459,433,9.666666667,17
F,687,403,360,13.85714286,33
M,710,388,313,13.57142857,10
M,1364,673,768,15,15
F,3005,385,455,9.470588235,13
F,827,328,309,10.15789474,15
F,725,354,418,15.4,20
F,548,246,259,12.375,16
F,1055,379,375,14,20
F,3142,770,675,12.5,15
F,479,304,333,5.884615385,10
F,2172,625,561,3.25,10
F,3410,941,775,25,25
F,1088,514,511,15,20
F,875,224,254,6,10
M,883,272,310,4.944444444,21
F,689,359,368,22.28571429,30
F,708,404,407,12.52631579,20
M,733,409,359,26.25,30
F,476,280,272,5.434782609,10
F,2041,858,943,9.833333333,17
M,881,363,375,6.714285714,6
M,434,299,243,11.4,12
F,1150,212,245,7.666666667,5
F,529,304,280,5.611111111,5
F,1205,408,444,9.8,5
F,301,273,262,8.982758621,10
F,910,415,421,12.23076923,21
F,875,415,381,11.42857143,10
F,945,578,446,17.18181818,23
F,714,290,282,12.07142857,15
M,763,334,378,5.5,8
M,448,241,254,8.294117647,10
F,524,269,329,11.8,25
F,397,211,227,8.96875,5
M,637,316,335,25,25
F,778,422,447,5.821818182,12
F,1008,397,388,8.916666667,5
F,993,366,329,5.235294118,7
F,1149,263,250,6.619047619,8
F,5000,700,632,5.840909091,9
F,5564,860,860,19.16666667,35
F,929,546,561,15,17
F,1627,508,537,9.266666667,14
F,428,243,268,6.461538462,6
F,717,341,344,25,20
M,452,256,230,5.64,10
F,2625,533,517,12.82608696,10
F,2113,450,502,9,5
F,1104,275,323,2.637931034,3
M,362,217,238,7.142857143,10
M,403,375,304,7.32,10
F,1014,273,306,11.1875,17
F,732,478,396,9.5,15
M,1309,419,424,12,12
F,961,341,366,13.66666667,17
F,883,503,493,13.8,10
M,1285,510,535,5.1875,11
F,889,398,341,16,17
F,1240,496,436,5.375,5
M,426,315,314,16.75,20
M,792,320,337,11.33333333,10
M,801,523,509,13.27272727,100
M,554,319,287,7.529411765,9
M,1141,498,481,8.615384615,21
F,848,386,404,10,25
M,985,495,508,12.125,15
F,795,475,557,9,12
F,556,324,313,5.263157895,10
F,630,323,329,11.5,20
F,789,430,425,5.833333333,5
F,152,200,204,14.66666667,20
F,1384,643,667,8,15
M,688,564,582,12,10
F,651,250,252,8.277777778,5
M,1307,381,383,18,40
F,241,241,231,8.466666667,5
F,4240,814,830,8.466666667,9
F,617,247,249,24.22222222,50
F,838,176,235,6.666666667,7
M,688,432,442,9.4,5
F,5970,1496,1208,10.18181818,15
F,435,322,325,10,15
F,677,261,282,9.8,15
M,980,387,381,11,10
M,788,275,299,6.789473684,8
M,295,161,199,25.11111111,50
M,1831,324,313,5.166666667,5
M,817,288,413,7.666666667,11
F,838,374,402,15,20
F,551,297,252,16.86666667,20
F,1380,449,417,8.0625,13
F,1499,419,444,9.2,15
M,603,261,233,6.333333333,9
M,407,324,383,5,2
F,471,268,273,9,12
F,929,420,418,7.833333333,10
F,521,330,315,8.75,10
F,288,164,131,5.285714286,5
F,914,542,540,25,30
F,466,309,318,11.66666667,10
M,534,306,363,20,20
M,1550,613,549,17.5,10
F,575,245,248,15,21
F,687,219,261,4.592105263,5
F,810,421,455,12.83333333,20
F,2347,736,786,3.055555556,4
M,2298,302,308,25,25
M,4956,1081,861,32.5,55
M,857,282,275,5.628571429,5
M,561,529,506,5.2,5
M,696,339,323,22.5,20
M,1909,688,648,13.375,18
M,535,154,200,12,17
M,835,414,429,19.66666667,23
M,553,193,236,4,5
M,652,354,306,8.222222222,7
F,1125,138,281,6.458333333,15
F,416,221,229,13.5,18
M,623,300,293,15,25
F,1516,555,527,4.166666667,4
F,182,181,126,4.352941177,12
M,821,298,304,11.66666667,15
M,2259,567,600,6.4,10
M,423,323,322,9.695652174,15
F,661,286,292,12.5,15
M,660,238,223,15.33333333,10
M,349,308,259,8.111111111,15
M,508,224,245,9.428571429,10
M,639,269,289,9.25,20
M,533,230,256,23.83333333,47
F,275,319,288,5.916666667,10
F,1953,353,337,13.5,14
M,494,331,316,6.571428571,20
F,5951,1330,1060,7.083333333,10
F,678,288,352,5.448275862,6
F,404,295,304,10.54761905,30
F,283,291,288,19.16666667,25
F,1554,663,689,14.5,20
F,5908,1267,991,81.25,25
F,848,288,299,16,10
M,1069,257,308,6.125,10
F,1017,510,537,18.17647059,50
F,5643,939,828,13.33333333,25
M,915,513,559,9.142857143,18
F,748,372,369,10,30
M,803,495,547,15,15
F,208,242,255,17.17647059,20
M,432,230,223,11.1,25
M,1485,478,432,12.875,16
M,4169,670,570,11.85714286,15
M,0,0,0,9,12
F,5000,931,862,25,30
F,1115,340,354,11.4375,16
F,709,515,522,9.9375,12
M,696,314,325,20.4,20
F,911,496,497,6.333333333,20
M,723,414,398,6.538461539,10
F,321,264,243,8.058823529,11
F,5725,763,698,23.72727273,45
F,1895,389,405,6.705882353,5
F,715,340,352,9.25,10
F,3359,897,934,5.8,5
F,950,295,330,4.142857143,5
F,1243,467,464,10.4,15
M,1162,560,571,10.125,15
F,359,260,250,9,10
M,720,357,358,11.6,18
M,1168,430,403,5,7
F,324,204,226,8.2,15
M,828,368,366,20,20
F,1188,218,194,8.333333333,10
F,915,514,514,5.52631579,5
F,2412,534,564,20,10
F,550,173,215,12.5,10
F,4135,608,665,7,7
F,2043,569,399,13.8,20
F,523,330,327,3.0625,5
F,2417,835,693,10.5,10
F,831,286,281,7.375,8
M,364,335,293,9.25,20
F,795,406,397,7.333333333,20
M,2476,453,470,17.66666667,34
F,3693,393,393,11.28571429,14
F,382,211,233,10.64705882,20
F,667,311,298,6.285714286,7
M,906,377,360,10.42857143,15
M,715,371,388,7.466666667,9
M,576,318,339,7.5,25
F,1424,446,477,9.2,25
F,733,378,374,10,20
F,1333,451,234,8.625,12
M,3899,786,749,33.33333333,20
M,658,392,417,5.789473684,5
M,498,302,304,5,5
M,793,372,464,7.5,10
F,641,300,356,14,10
F,558,301,327,14.77777778,20
F,3314,755,820,11.66666667,10
F,558,366,398,6.363636364,7
F,1783,603,609,20,20
F,543,431,421,15,20
M,1344,733,676,7.214285714,11
F,1335,682,644,22.25,20
F,888,368,371,5.714285714,10
F,1968,485,449,9.4,15
M,1033,460,376,15,21
M,934,391,404,6.366666667,4
F,578,306,279,9.857142857,10
M,406,243,255,17.5,16
M,474,205,218,9.133333333,12
M,721,339,335,8.875,20
M,443,288,281,36.11111111,50
F,841,409,378,10,5
M,724,384,319,12.5,21
F,924,443,427,4.666666667,6
F,1056,498,444,3.589285714,25
F,1017,700,647,13.8,50
F,668,322,344,25.83333333,25
F,3528,808,867,6.162790698,5
F,417,300,258,14,15
F,1232,229,241,3.714285714,5
M,396,274,284,9.727272727,14
M,764,307,317,15,20
F,877,473,450,5.25,5
M,696,402,407,10.5,15
F,1109,587,606,13.25,19
F,2099,609,610,10.7,10
F,4778,981,849,19.25,25
M,2264,441,404,11,15
F,740,288,294,4.375,4
F,573,295,285,7.153846154,12
M,258,120,89,5.555555556,5
F,240,280,271,2.260869565,2
M,701,335,405,15.5,25
F,305,103,162,13.33333333,20
F,1271,752,743,15.09090909,20
F,1233,347,365,7.923076923,10
F,802,488,531,11.05882353,14
F,2070,781,678,5.5,10
